Monophyletische Algen-Gruppe;Kürzel;Endocytobiose;Anzahl (Hüll)-Membranen;Chlorophyll a;Chlorophyll b;Chlorophyll c;Nucleomorph;Phycobilisomen;gelöste Phycobiline
Cyanobakterien - Blaualgen;Bla;0;1;1;0;0;0;1;0
Glaucoplantae;Gla;1;2;1;0;0;0;1;0
Heterokonta;Het;2;4;1;0;1;0;0;0
Cryptoplantae;Cry;2;4;1;0;1;1;0;1
Euglenophyceae;Eug;2;3;1;1;0;0;0;0
Haptoplantae;Hap;2;4;1;0;1;0;0;0
Rhodoplantae;Rho;1;2;1;0;0;0;1;0
Viridplantae;Vir;1;2;1;1;0;0;0;0
Dinophyceae;Din;3;3;1;0;1;0;0;0
Chlorarachniophyceae;Chl;2;4;1;1;0;1;0;0